Timestamp;Depth;Electrical Conductivity;Temperature
2025-07-11 06:17:40;84;16802;24.9
2025-07-11 06:22:39;84;16797;24.9
2025-07-11 06:27:39;85;16799;24.9
2025-07-11 06:32:39;83;16794;24.8
2025-07-11 06:37:39;83;16797;24.8
2025-07-11 06:42:39;85;16791;24.8
2025-07-11 06:47:39;84;16792;24.8
2025-07-11 06:52:39;84;16791;24.8
2025-07-11 06:57:39;83;16799;24.8
2025-07-11 07:02:39;83;16784;24.8
2025-07-11 07:07:39;83;16785;24.8
2025-07-11 07:12:39;82;16770;24.8
2025-07-11 07:17:39;83;16782;24.8
2025-07-11 07:22:39;83;16776;24.8
2025-07-11 07:27:39;81;16789;24.8
2025-07-11 07:32:39;82;16792;24.9
2025-07-11 07:37:39;82;16772;24.9
2025-07-11 07:42:39;82;16776;24.9
2025-07-11 07:47:39;82;16783;24.9
2025-07-11 07:52:39;81;16762;24.9
2025-07-11 07:57:38;82;16768;25
2025-07-11 08:02:38;82;16763;25
2025-07-11 08:07:38;81;16764;25
2025-07-11 08:12:38;82;16757;25
2025-07-11 08:17:38;81;16761;25
2025-07-11 08:22:38;80;16753;25.1
2025-07-11 08:27:38;82;16751;25.1
2025-07-11 08:32:38;81;16751;25.1
2025-07-11 08:37:38;82;16748;25.1
2025-07-11 08:42:38;81;16757;25.2
2025-07-11 08:47:38;82;16740;25.2
2025-07-11 08:52:38;81;16748;25.3
2025-07-11 08:57:38;81;16732;25.3
2025-07-11 09:02:38;80;16728;25.4
2025-07-11 09:07:38;79;16723;25.4
2025-07-11 09:12:38;81;16729;25.4
2025-07-11 09:17:38;80;16722;25.5
2025-07-11 09:22:38;80;16740;25.5
2025-07-11 09:27:38;80;16724;25.5
2025-07-11 09:32:38;79;16716;25.6
2025-07-11 09:37:37;79;16717;25.6
2025-07-11 09:42:37;80;16714;25.6
2025-07-11 09:47:37;81;16707;25.7
2025-07-11 09:52:37;82;16715;25.7
2025-07-11 09:57:37;81;16695;25.8
2025-07-11 10:02:37;81;16709;25.8
2025-07-11 10:07:37;80;16695;25.9
2025-07-11 10:12:37;81;16673;26
2025-07-11 10:17:37;80;16674;26.1
2025-07-11 10:22:37;80;16666;26.2
2025-07-11 10:27:37;80;16668;26.3
2025-07-11 10:32:37;80;16653;26.4
2025-07-11 10:37:37;81;16649;26.6
2025-07-11 10:42:37;81;16654;26.7
2025-07-11 10:47:37;80;16647;26.8
2025-07-11 10:52:37;80;16628;26.9
2025-07-11 10:57:37;80;16623;27.1
2025-07-11 11:02:37;79;16617;27.2
2025-07-11 11:07:37;80;16620;27.3
